السؤال,الجواب,الكلمة المفتاحية,التصنيف
 0  كيف يتم التحاق الموظف بالبرامج التدريبية؟,يتم التحاقه بناءً على قرار من الرئيس، وتنسيب العميد أو المدير المعني، مع تحقيق الشروط المحددة ,البرامج التدريبية، التنسيب,قوانين العمل
    من يتحمل تكاليف الدورات التدريبية التي يشارك فيها الموظف؟,تتحمل الجامعة نفقات الدورات المنصوص عليها، وتتحمل الجامعة أيضًا رسوم الاشتراك في الدورات التي تخدم مجال عمل الموظف ,الدورات التدريبية، تكاليف,قوانين العمل
    ما هي الشروط لصرف مكافآت الموظفين الذين يقومون بالتدريس؟,يتم صرف المكافآت بناءً على تعليمات أجور المحاضرين غير المتفرغين، مع استثناءات خاصة لبعض التخصصات ,المكافآت، التدريس,قوانين العمل
 3  ما هو التمييز في مكافآت المحاضرين الذين يحملون شهادة طبية؟,يتم دفع مكافأة خاصة للمحاضرين الذين يحملون شهادة علمية في الطب ,المكافآت، التدريس,قوانين العمل
 4  هل يمكن منح علاوة للموظفين الذين يقومون بالتدريس؟,نعم، يمكن منح بعض العاملين علاوة بقرار من الرئيس، شريطة تحديد النسبة في كتاب التنسيب المرفوع ,العلاوة، التدريس,قوانين العمل
 5  كيف يتم إعلام الشؤون المالية بانتقال الموظف؟,يتم إعلام الشؤون المالية ودائرة الموارد البشرية بتاريخ مباشرة الموظف المنقول أو المعار أو المنتدب ,الإعلام، الموارد البشرية,قوانين العمل
 6  هل هناك شروط للإعارة؟,نعم، يجب أن تكون الجهة المعار إليها موظفًا رسميًا أو حكوميًا في الأردن، مع تقديم طلب خطي للموافقة المسبقة ,الإعارة، الشروط,قوانين العمل
 7  ما هي الإجراءات المتبعة عند العودة من الإعارة؟,يتم اتباع نفس الإجراءات الإدارية التي تم اتباعها في الموافقة على الإعارة عند العودة للعمل ,الإعارة، الإجراءات,قوانين العمل
 8  هل يتم إعادة الموظف إلى وظيفته الأصلية بعد الإعارة؟,نعم، يتم إعادة الموظف إلى وظيفته الأصلية أو إلى وظيفة مناظرة لوظيفته السابقة ,العودة من الإعارة,قوانين العمل
 9  ما هي صلاحيات العميد أو المدير بخصوص منح الإجازات؟,يجوز للعميد أو المدير تفويض صلاحياته في منح الإجازة إلى من يراه مناسبًا، ويجب تقديم الطلب قبل  4 ساعة ,الإجازات، التفويض,قوانين العمل
   ما هي الشروط المطلوبة للتحويل من الأجرة اليومية إلى العقد السنوي؟,يجب أن يكون العامل قد أمضى سنتين متصلتين في الجامعة، وألا يقل تقديره في التقرير السنوي عن جيد جدًا، وألا تكون قد فرضت عليه عقوبات خلال السنتين الأخيرتين ,التحويل، الأجرة اليومية، العقد السنوي,قوانين العمل
 0  ماذا يحدث إذا كان الموظف مجازًا واحتاج للعمل في ظروف مصلحة العمل؟,يمكن للعميد أو المدير طلب من الموظف قطع إجازته والالتحاق بالعمل بناءً على مصلحة العمل ,الإجازة، المصلحة,قوانين العمل
    ما هي إجراءات منح الإجازة السنوية؟,يجب تعبئة النموذج المخصص للإجازة، وتُرسل نسخة من الموافقة إلى دائرة الموارد البشرية لترصيدها ,الإجازة السنوية، الإجراءات,قوانين العمل
    ماذا يحدث إذا تم تكليف الموظف بعمل خارج الدوام؟,يمكن منح الموظف إجازة إدارية مقابل العمل خارج الدوام الرسمي ,العمل خارج الدوام، الإجازة الإدارية,قوانين العمل
 3  كيف يتم منح الإجازة الإدارية؟,يتم منح الإجازة الإدارية في حال تم تكليف الموظف بإنجاز أعمال ضرورية خارج أوقات الدوام الرسمي، ولم يتقاضَ مقابل ذلك ,الإجازة الإدارية,قوانين العمل
 4  ما هي الحدود القصوى للإجازة الإدارية؟,لا يجوز أن تتجاوز الإجازة الإدارية السنوية الإجازة السنوية المنصوص عليها في النظام ,الإجازة الإدارية,قوانين العمل
 5  ماذا يحدث إذا تطلبت المصلحة تكليف الموظف أثناء إجازته السنوية؟,يمكن تكليف الموظف للعمل خلال إجازته السنوية مقابل مكافأة شريطة ألا تزيد مدة المكافأة عن ثلاثة أرباع الإجازة المستحقة له ,إجازة سنوية، المكافأة,قوانين العمل
 6  كيف يتم التعامل مع الإجازة في حالة الطوارئ؟,يجب على الموظف إبلاغ رئيسه المباشر في حالته الطارئة وعدد الأيام التي سيتغيب فيها ,إجازة الطوارئ,قوانين العمل
 7  هل يمكن للموظف استنفاد إجازته السنوية؟,يمكن منح الموظف إجازة اضطرارية إذا استنفد إجازته السنوية، بشرط أن تكون المدة لا تزيد عن سبعة أيام ,إجازة سنوية، إجازة اضطرارية,قوانين العمل
 8  ماذا يحدث إذا طلب الموظف إجازة اضطرارية لأكثر من سبعة أيام؟,يتم خصم الأيام التي تتجاوز السبعة أيام من راتب الموظف ,إجازة اضطرارية، الراتب,قوانين العمل
 9  ما هي الحالات التي يجوز فيها منح إجازة اضطرارية؟,تشمل الحالات المرضية التي تتطلب مرافقة أحد أقارب الموظف إلى المستشفى أو الحوادث الخاصة مثل الحرائق ,إجازة اضطرارية، الحالات الخاصة,قوانين العمل
   هل يمكن تحويل العامل بالأجرة اليومية إلى عقد سنوي في حالة عدم موافقة اللجنة؟,في حالة عدم موافقة اللجنة، يمكن تحويله إلى العقد سنة فسنة ,اللجنة، التحويل,قوانين العمل
30  ما هي الحالات التي تمنح فيها إجازة براتب كامل؟,يتم منح إجازة براتب كامل في حال وفاة أحد الأقارب من الدرجة الأولى، مثل الوالدين أو الأبناء ,إجازة وفاة، براتب كامل,قوانين العمل
3   كيف يتم حساب مغادرة الموظف أثناء الدوام؟,يتم احتساب كل ثماني ساعات مغادرة متقطعة ليوم إجازة، أما المغادرات التي تزيد عن ثلاث ساعات فتحسب إجازة يوم كامل ,مغادرة، إجازة,قوانين العمل
3   هل يمكن للموظفة المرضع أن تحصل على ساعة رضاعة خلال الدوام؟,نعم، يحق لها ساعة رضاعة واحدة في اليوم بعد إجازة الأمومة، ولا تُحتسب من الإجازة السنوية ,رضاعة، إجازة أمومة,قوانين العمل
33  ماذا يحدث إذا طلبت الموظفة المرضع إجازة دون راتب؟,يحق لها إجازة دون راتب لمدة أو مدتين لا تزيد مجموعها على سنة من تاريخ انتهاء إجازة الأمومة ,إجازة مرضع، دون راتب,قوانين العمل
34  ما هي الإجازة التي تمنح للموظف المريض؟,يتم منح إجازة مرضية للموظف لمدة  5 يومًا بأجر كامل، و45 يومًا بأجر نصف شهري ,إجازة مرضية,قوانين العمل
35  كم تبلغ مدة إجازة الموظف المريض؟,إجازة مرضية تصل إلى 60 يومًا في السنة بشرط أن يثبت الموظف حالته الصحية ,إجازة مرضية,قوانين العمل
36  هل يمكن منح إجازة مرضية لمدة أطول من 60 يومًا؟,نعم، يجوز منح إجازة مرضية أطول بناءً على قرار لجنة طبية مختصة ,إجازة مرضية، لجنة طبية,قوانين العمل
37  هل يوجد فرق بين الإجازة المرضية للموظفين المؤقتين والدائمين؟,نعم، الموظفون الدائمون لديهم أحقية في إجازات مرضية أطول مقارنة بالموظفين المؤقتين ,إجازة مرضية,قوانين العمل
38  ماذا يحدث إذا كانت الإجازة المرضية للموظف تتجاوز المدة المحددة؟,يتم خصم الأيام التي تتجاوز المدة المحددة من راتب الموظف ,إجازة مرضية، خصم,قوانين العمل
39  ما هي الشروط التي تمنع الموظف من الحصول على إجازة؟,يجب أن يكون الموظف قد أتم سنتين متتاليتين في العمل في الجامعة ,إجازة، الشروط,قوانين العمل
3  ما هي الشروط المطلوبة للتحويل من العقد السنوي إلى الراتب الشهري المقطوع للوظائف الحرفية؟,يجب أن لا تقل خدمة الموظف عن خمس سنوات وأن لا يقل تقديره في التقرير السنوي عن جيد جداً ,العقد السنوي، الراتب المقطوع، الوظائف الحرفية,قوانين العمل
40  هل يمكن تمديد الإجازة السنوية؟,نعم، يمكن تمديد الإجازة السنوية بناءً على موافقة الرئيس أو المدير المختص ,تمديد، إجازة سنوية,قوانين العمل
4  ما هي المتطلبات لتحويل الموظف من العقد السنوي إلى الدرجة المصنفة؟,يجب أن لا تقل الخدمة عن أربع سنوات في الجامعة، وأن لا يقل تقديره عن جيد جداً في السنتين الأخيرتين، وأن يكون حاصلاً على شهادة الثانوية العامة ,العقد السنوي، الدرجة المصنفة,قوانين العمل
5  كيف يتم احتساب رواتب الموظفين عند تحويلهم إلى الدرجات؟,يتم احتساب الرواتب وفقاً لسلم الرواتب وحسب الأسس المتبعة في تحديد الرواتب، مع احتساب سنوات الخدمة داخل الجامعة ,الرواتب، الدرجات، سنوات الخدمة,قوانين العمل
6  ماذا يحدث في حالة تحويل الموظف من العقد السنوي إلى الراتب المقطوع؟,يتم احتساب الرواتب وفقًا لسلم الرواتب الخاص بالرواتب المقطوعة، مع ضمان عدم انخفاض راتب الموظف عن راتبه الأساسي في العقد السنوي ,العقد السنوي، الراتب المقطوع,قوانين العمل
7  كيف يتم ترقية الموظف؟,يتم رفع الموظف إلى درجة أعلى أو نقله إلى فئة أعلى بناءً على توصية اللجنة وقرار المرجع المختص بالتعيين ,الترقية، اللجنة,قوانين العمل
