Question,Answer
ما هو الحد الأعلى للعبء الدراسي في الفصل الصيفي الأول أو الثاني؟,"10 ساعات معتمدة، ولا يوجد حد أدنى."
هل يمكن للطالب دراسة 12 ساعة معتمدة في الفصل الصيفي الأول؟,"نعم، إذا توقف تخرجه في الفصل الصيفي الثاني على دراسة 12 ساعة معتمدة أو يتبقى له التدريب فقط في الفصل التالي."
ما هي الحالة التي يسمح فيها للطالب بدراسة 22 ساعة معتمدة في الفصل الإجباري؟,إذا كان معدله التراكمي لا يقل عن 3.5 في نهاية الفصل السابق.
هل يمكن للطالب دراسة 22 ساعة معتمدة في الفصل الإجباري في حال توقف تخرجه؟,"نعم، إذا توقف تخرجه على دراسة 22 ساعة معتمدة في الفصل نفسه أو يتبقى له التدريب فقط في الفصل التالي."
من يتحمل مسؤولية تسجيل الطالب للمواد؟,يتحمل الطالب مسؤولية تسجيل المواد وفق خطته الدراسية وإجراءات التسجيل المعتمدة في الجامعة.
ماذا يحدث إذا سجل الطالب عبئًا دراسيًا يتجاوز الحد الأعلى؟,يقوم مدير القبول والتسجيل بإلغاء المادة للطالب.
ماذا يحدث إذا كان عبء الطالب الدراسي أقل من الحد الأدنى؟,"يتم إلغاء تسجيل الطالب وفقًا للإجراءات المعتمدة في الجامعة، إلا في حالات مبررة بموافقة عميد الكلية."
ما هو الحد الأدنى للعبء الدراسي في الفصل الإجباري؟,الحد الأدنى هو 9 ساعات معتمدة.
كم عدد الساعات المعتمدة التي يجب أن يدرسها الطالب لتصنيفه في مستوى السنة الثانية؟,يجب أن يدرس الطالب 33 ساعة معتمدة على الأقل.
كم عدد الساعات المعتمدة التي يجب أن يدرسها الطالب لتصنيفه في مستوى السنة الثالثة؟,يجب أن يدرس الطالب 66 ساعة معتمدة على الأقل.
كم عدد الساعات المعتمدة التي يجب أن يدرسها الطالب لتصنيفه في مستوى السنة الرابعة؟,يجب أن يدرس الطالب 99 ساعة معتمدة على الأقل.
كم عدد الساعات المعتمدة التي يجب أن يدرسها الطالب لتصنيفه في مستوى السنة الخامسة؟,يجب أن يدرس الطالب 132 ساعة معتمدة على الأقل.
هل يسمح للطالب بدراسة عدد ساعات معتمدة أكثر من الحد الأعلى؟,"نعم، إذا تحقق أحد الشروط المسموحة مثل معدل التراكمي العالي أو توقف التخرج."
