السؤال,الجواب,الكلمة المفتاحية,التصنيف,score
   كيف يتم التحاق الموظف بالبرامج التدريبية؟,"يتم التحاقه بناءً على قرار من الرئيس، وتنسيب العميد أو المدير المعني، مع تحقيق الشروط المحددة ","البرامج التدريبية، التنسيب",قوانين العمل,0.530917346
    من يتحمل تكاليف الدورات التدريبية التي يشارك فيها الموظف؟,"تتحمل الجامعة نفقات الدورات المنصوص عليها، وتتحمل الجامعة أيضًا رسوم الاشتراك في الدورات التي تخدم مجال عمل الموظف ","الدورات التدريبية، تكاليف",قوانين العمل,0.53015548
    ما هي الشروط لصرف مكافآت الموظفين الذين يقومون بالتدريس؟,"يتم صرف المكافآت بناءً على تعليمات أجور المحاضرين غير المتفرغين، مع استثناءات خاصة لبعض التخصصات ","المكافآت، التدريس",قوانين العمل,0.529671431
 3  ما هو التمييز في مكافآت المحاضرين الذين يحملون شهادة طبية؟,يتم دفع مكافأة خاصة للمحاضرين الذين يحملون شهادة علمية في الطب ,"المكافآت، التدريس",قوانين العمل,0.529973745
 4  هل يمكن منح علاوة للموظفين الذين يقومون بالتدريس؟,"نعم، يمكن منح بعض العاملين علاوة بقرار من الرئيس، شريطة تحديد النسبة في كتاب التنسيب المرفوع ","العلاوة، التدريس",قوانين العمل,0.53069526
 5  كيف يتم إعلام الشؤون المالية بانتقال الموظف؟,يتم إعلام الشؤون المالية ودائرة الموارد البشرية بتاريخ مباشرة الموظف المنقول أو المعار أو المنتدب ,"الإعلام، الموارد البشرية",قوانين العمل,0.531295955
 6  هل هناك شروط للإعارة؟,"نعم، يجب أن تكون الجهة المعار إليها موظفًا رسميًا أو حكوميًا في الأردن، مع تقديم طلب خطي للموافقة المسبقة ","الإعارة، الشروط",قوانين العمل,0.53109616
 7  ما هي الإجراءات المتبعة عند العودة من الإعارة؟,يتم اتباع نفس الإجراءات الإدارية التي تم اتباعها في الموافقة على الإعارة عند العودة للعمل ,"الإعارة، الإجراءات",قوانين العمل,0.528590381
 8  هل يتم إعادة الموظف إلى وظيفته الأصلية بعد الإعارة؟,"نعم، يتم إعادة الموظف إلى وظيفته الأصلية أو إلى وظيفة مناظرة لوظيفته السابقة ",العودة من الإعارة,قوانين العمل,0.530655146
 9  ما هي صلاحيات العميد أو المدير بخصوص منح الإجازات؟,"يجوز للعميد أو المدير تفويض صلاحياته في منح الإجازة إلى من يراه مناسبًا، ويجب تقديم الطلب قبل  4 ساعة ","الإجازات، التفويض",قوانين العمل,0.530431867
